town_name,party_votes,PSC,PP,VOX,Cs,ERC,ECP,JxCat,CUP
Olvan,461,37,14,14,8,120,7,155,62
Olèrdola,1707,303,32,95,57,411,94,422,152
Olesa de Bonesvalls,812,175,20,90,62,197,61,116,40
Olesa de Montserrat,9022,2062,181,617,584,2255,652,1515,622
Olivella,1220,270,34,174,97,265,88,170,66
Olost,570,33,4,5,8,148,6,238,76
Orís,178,13,4,3,2,32,8,76,21
Oristà,300,19,5,4,4,65,7,116,31
Orpí,84,4,0,2,0,28,1,31,14
Òrrius,420,31,2,13,8,123,19,125,65
Pacs del Penedès,444,61,12,21,18,101,25,121,33
Palafolls,3698,902,68,336,225,873,269,575,201
Palau-solità i Plegamans,6222,1338,192,585,432,1522,410,1117,294
Pallejà,5052,1437,154,476,376,1109,431,617,204
"Papiol, el",1791,392,54,96,98,478,101,346,120
Parets del Vallès,7530,2148,214,593,414,1735,607,1063,393
Perafita,210,7,3,4,0,52,7,89,25
Piera,5209,1133,162,575,288,1303,312,804,349
"Hostalets de Pierola, els",1148,184,38,87,48,338,59,227,112
Pineda de Mar,9561,2520,370,1038,490,2394,507,1435,403
"Pla del Penedès, el",598,60,7,21,14,189,27,150,70
"Pobla de Claramunt, la",914,189,13,42,36,190,39,248,76
"Pobla de Lillet, la",547,53,8,20,6,158,17,207,46
Polinyà,2976,944,91,359,236,559,281,256,89
Pontons,209,15,32,12,4,35,7,72,18
"Prat de Llobregat, el",23413,8292,983,2177,1744,4115,2536,1729,773
"Prats de Rei, els",269,31,4,7,5,50,7,116,18
Prats de Lluçanès,1251,70,12,29,13,339,25,537,123
Premià de Mar,11130,2359,333,763,680,2566,896,2109,852
Puigdàlber,278,22,7,23,2,74,9,90,31
Puig-reig,1883,175,44,51,42,535,56,613,171
Pujalt,112,5,6,4,2,24,4,48,10
"Quar, la",20,1,0,0,0,5,0,2,7
Rajadell,313,26,3,20,4,82,13,82,36
Rellinars,377,44,4,15,25,121,32,79,31
Ripollet,12991,4352,472,1444,924,2283,1295,1043,603
"Roca del Vallès, la",4750,1214,121,326,207,1078,240,999,279
"Pont de Vilomara i Rocafort, el",1379,368,27,220,74,312,70,188,64
Roda de Ter,2617,251,20,106,39,642,90,1037,243
Rubí,25531,7371,893,2760,1847,5194,2205,2805,1241
Rubió,120,7,1,8,5,33,8,23,11
Sabadell,81158,21648,2544,6278,4894,16106,6274,14034,5019
Sagàs,89,3,1,0,2,18,0,36,17
Sant Pere Sallavinera,104,3,2,1,1,27,2,37,10
Saldes,178,9,1,0,6,52,8,59,27
Sallent,2898,520,52,113,55,819,146,711,325
Santpedor,3518,469,48,147,73,1080,145,988,318
Sant Iscle de Vallalta,570,55,9,39,16,162,38,166,46
Sant Adrià de Besòs,10359,3488,488,1236,854,1834,861,790,380
Sant Agustí de Lluçanès,57,1,1,1,1,8,2,26,4
Sant Andreu de la Barca,9698,3512,347,1253,824,1758,699,603,281
Sant Andreu de Llavaneres,4602,729,257,412,245,1011,202,1213,191
Sant Antoni de Vilamajor,2773,363,58,149,106,697,130,824,259
Sant Bartomeu del Grau,418,58,5,11,10,79,13,157,39
Sant Boi de Llobregat,30145,10598,1125,2800,2200,5673,2942,2409,1069
Sant Boi de Lluçanès,303,27,4,3,2,81,8,122,20
Sant Celoni,7012,1279,132,318,196,1605,366,2109,608
Sant Cebrià de Vallalta,1285,187,34,87,41,348,57,350,106
Sant Climent de Llobregat,1858,484,35,106,81,470,127,338,110
