town_name,party_votes,PSC,PP,VOX,Cs,ERC,ECP,JxCat,CUP
Montferrer i Castellbò,444,43,14,8,5,120,18,131,43
Montoliu de Segarra,87,5,3,0,2,15,2,38,10
Montoliu de Lleida,246,17,9,10,5,72,8,78,26
Montornès de Segarra,55,10,0,1,0,13,1,19,4
Nalec,60,7,0,0,0,20,1,28,0
Navès,134,8,5,3,4,17,3,59,12
Odèn,142,5,6,1,3,34,0,48,11
Oliana,830,107,26,13,11,262,17,301,43
Oliola,118,5,2,8,1,26,1,52,13
Olius,461,36,14,11,9,107,7,201,33
"Oluges, les",92,8,1,2,1,22,2,43,6
"Omellons, els",103,7,4,9,1,35,6,19,4
"Omells de na Gaia, els",73,4,0,0,0,16,2,42,6
Organyà,359,43,9,11,6,95,10,134,24
Os de Balaguer,493,54,13,14,7,148,20,149,53
Ossó de Sió,105,8,1,7,2,26,1,37,3
"Palau d'Anglesola, el",998,71,16,33,9,310,18,361,62
Conca de Dalt,213,26,8,1,1,58,5,64,38
"Coma i la Pedra, la",138,2,4,8,0,28,4,60,15
Penelles,214,11,6,4,4,67,2,87,12
Peramola,183,12,4,3,2,58,3,64,17
Pinell de Solsonès,91,2,5,2,1,25,0,42,8
Pinós,152,7,10,7,0,13,6,41,27
"Poal, el",326,14,11,20,1,91,4,122,24
"Pobla de Cérvoles, la",112,15,3,3,4,30,1,26,10
Bellaguarda,186,18,4,4,0,55,4,74,14
"Pobla de Segur, la",1324,219,21,25,24,323,51,426,128
Ponts,1033,88,42,32,11,346,18,341,75
"Pont de Suert, el",930,258,33,42,16,186,62,162,72
"Portella, la",261,34,0,9,7,77,5,94,20
Prats i Sansor,138,9,8,11,3,25,5,47,10
Preixana,212,6,12,6,5,48,6,69,14
Preixens,212,18,4,14,5,49,8,41,11
Prullans,124,6,0,6,0,31,3,37,21
Puiggròs,140,15,1,0,1,36,2,68,4
Puigverd d'Agramunt,97,13,5,6,1,26,0,29,6
Puigverd de Lleida,618,89,22,38,21,162,28,165,52
Rialp,339,31,6,9,3,69,15,83,39
Ribera d'Urgellet,377,46,1,3,12,105,11,138,26
Riner,155,11,2,11,3,28,1,63,22
Rosselló,1146,159,20,76,39,308,32,321,75
Salàs de Pallars,173,34,1,3,2,48,4,39,28
Sanaüja,198,10,9,11,2,41,0,82,21
Sant Guim de Freixenet,436,36,10,23,16,146,15,133,27
Sant Llorenç de Morunys,487,29,12,6,8,118,4,207,62
Sant Ramon,244,16,9,9,0,63,6,85,18
Sant Esteve de la Sarga,67,8,2,1,0,15,7,18,6
Sant Guim de la Plana,106,8,0,1,2,40,0,31,16
Sarroca de Lleida,197,21,3,1,1,80,0,57,13
Sarroca de Bellera,63,16,1,3,1,16,1,12,2
Senterada,57,10,2,0,0,17,5,13,10
"Seu d'Urgell, la",4423,844,137,196,147,1140,209,1060,373
Seròs,650,58,13,24,6,195,8,155,31
Sidamon,356,42,10,22,5,100,17,106,15
"Soleràs, el",185,10,1,1,1,63,1,86,8
Solsona,3487,412,44,102,59,909,94,1195,401
Soriguera,217,24,3,1,0,62,7,45,60
Sort,962,92,19,19,24,259,43,276,142
Soses,673,101,13,14,7,221,6,226,28
Sudanell,379,32,19,11,2,145,8,95,36
Sunyer,140,18,4,3,4,39,3,44,6
Talarn,204,35,2,18,9,42,6,54,22
Talavera,165,11,4,6,4,46,1,44,22
Tàrrega,5954,748,105,235,125,1515,183,2017,532
Tarrés,64,2,0,1,0,25,2,23,5
Tarroja de Segarra,87,1,1,1,6,20,1,26,21
Térmens,641,45,17,24,5,200,10,207,42
Tírvia,85,10,0,1,0,24,3,27,12
Tiurana,53,3,8,1,1,9,0,20,2
